"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 20:18:36 GMT 2024","Mon Jun 10 20:18:38 GMT 2024","1621","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:36 GMT 2024","Mon Jun 10 20:18:38 GMT 2024","1660","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:38 GMT 2024","Mon Jun 10 20:18:40 GMT 2024","2025","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:38 GMT 2024","Mon Jun 10 20:18:40 GMT 2024","1674","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:41 GMT 2024","Mon Jun 10 20:18:45 GMT 2024","4009","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Mon Jun 10 20:18:29 GMT 2024","Mon Jun 10 20:18:30 GMT 2024","1780","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:31 GMT 2024","Mon Jun 10 20:18:32 GMT 2024","1574","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:29 GMT 2024","Mon Jun 10 20:18:30 GMT 2024","1470","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:34 GMT 2024","Mon Jun 10 20:18:36 GMT 2024","1626","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:40 GMT 2024","Mon Jun 10 20:18:41 GMT 2024","800","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 10 20:18:40 GMT 2024","Mon Jun 10 20:18:41 GMT 2024","750","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 10 20:18:32 GMT 2024","Mon Jun 10 20:18:34 GMT 2024","1812","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:41 GMT 2024","Mon Jun 10 20:18:45 GMT 2024","3945","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Mon Jun 10 20:18:30 GMT 2024","Mon Jun 10 20:18:32 GMT 2024","1663","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:32 GMT 2024","Mon Jun 10 20:18:34 GMT 2024","1717","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:18:34 GMT 2024","Mon Jun 10 20:18:36 GMT 2024","1648","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
