"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 21:00:51 GMT 2024","Mon Jun 10 21:00:53 GMT 2024","1544","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:52 GMT 2024","Mon Jun 10 21:00:53 GMT 2024","1617","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:50 GMT 2024","Mon Jun 10 21:00:51 GMT 2024","1689","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:46 GMT 2024","Mon Jun 10 21:00:47 GMT 2024","1457","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:44 GMT 2024","Mon Jun 10 21:00:45 GMT 2024","1774","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:55 GMT 2024","Mon Jun 10 21:00:57 GMT 2024","1175","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 10 21:00:57 GMT 2024","Mon Jun 10 21:01:01 GMT 2024","3826","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Mon Jun 10 21:00:44 GMT 2024","Mon Jun 10 21:00:45 GMT 2024","1570","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:49 GMT 2024","Mon Jun 10 21:00:51 GMT 2024","1771","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:48 GMT 2024","Mon Jun 10 21:00:49 GMT 2024","1617","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:46 GMT 2024","Mon Jun 10 21:00:48 GMT 2024","1843","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:57 GMT 2024","Mon Jun 10 21:01:00 GMT 2024","3590","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Mon Jun 10 21:00:53 GMT 2024","Mon Jun 10 21:00:55 GMT 2024","1698","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:53 GMT 2024","Mon Jun 10 21:00:55 GMT 2024","1757","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:47 GMT 2024","Mon Jun 10 21:00:49 GMT 2024","1782","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 21:00:55 GMT 2024","Mon Jun 10 21:00:56 GMT 2024","1218","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
