"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 17:44:25 GMT 2024","Thu Jun 06 17:44:28 GMT 2024","2674","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Thu Jun 06 17:44:28 GMT 2024","Thu Jun 06 17:44:30 GMT 2024","2648","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Thu Jun 06 17:44:34 GMT 2024","Thu Jun 06 17:44:35 GMT 2024","1086","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Thu Jun 06 17:44:17 GMT 2024","Thu Jun 06 17:44:19 GMT 2024","1985","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Thu Jun 06 17:44:31 GMT 2024","Thu Jun 06 17:44:33 GMT 2024","2719","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Thu Jun 06 17:44:19 GMT 2024","Thu Jun 06 17:44:22 GMT 2024","2769","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Thu Jun 06 17:44:16 GMT 2024","Thu Jun 06 17:44:16 GMT 2024","7","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"unknown","Thu Jun 06 17:44:16 GMT 2024","Thu Jun 06 17:44:16 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Thu Jun 06 17:44:22 GMT 2024","Thu Jun 06 17:44:25 GMT 2024","2848","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
