"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 18:15:12 GMT 2024","Sat Jun 08 18:15:14 GMT 2024","1700","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Sat Jun 08 18:15:14 GMT 2024","Sat Jun 08 18:15:16 GMT 2024","1499","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Sat Jun 08 18:15:16 GMT 2024","Sat Jun 08 18:15:18 GMT 2024","1639","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Sat Jun 08 18:15:09 GMT 2024","Sat Jun 08 18:15:10 GMT 2024","1731","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Sat Jun 08 18:15:20 GMT 2024","Sat Jun 08 18:15:21 GMT 2024","999","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Sat Jun 08 18:15:18 GMT 2024","Sat Jun 08 18:15:20 GMT 2024","1669","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Sat Jun 08 18:15:11 GMT 2024","Sat Jun 08 18:15:12 GMT 2024","1531","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
