"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 17:00:08 GMT 2024","Mon Jun 10 17:00:10 GMT 2024","1765","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:28 GMT 2024","Mon Jun 10 17:00:30 GMT 2024","2150","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:19 GMT 2024","Mon Jun 10 17:00:21 GMT 2024","2013","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:15 GMT 2024","Mon Jun 10 17:00:17 GMT 2024","1804","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:06 GMT 2024","Mon Jun 10 17:00:08 GMT 2024","2120","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:11 GMT 2024","Mon Jun 10 17:00:12 GMT 2024","1760","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 16:59:59 GMT 2024","Mon Jun 10 17:00:02 GMT 2024","2335","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:06 GMT 2024","Mon Jun 10 17:00:08 GMT 2024","2146","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:41 GMT 2024","Mon Jun 10 17:00:43 GMT 2024","1721","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 10 17:00:02 GMT 2024","Mon Jun 10 17:00:04 GMT 2024","1810","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:32 GMT 2024","Mon Jun 10 17:00:34 GMT 2024","1735","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:02 GMT 2024","Mon Jun 10 17:00:04 GMT 2024","1780","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:12 GMT 2024","Mon Jun 10 17:00:13 GMT 2024","976","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 10 17:00:10 GMT 2024","Mon Jun 10 17:00:12 GMT 2024","1498","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:04 GMT 2024","Mon Jun 10 17:00:06 GMT 2024","1811","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 17:00:12 GMT 2024","Mon Jun 10 17:00:13 GMT 2024","730","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
